year,make,model,type,range,EV_range,mpge,cargo_volume_cu_ft,cargo_volume_rear_folded_cu_ft,battery capacity (kW),home_charging (110V),home_charging (240V),Level2_charging (240V),CHadoMo_charging (50 kW),CCS2 DC_charging (50 kW),CCS2 DC_charging (100 kW),Tesla charger,finance (36 month),"finance (36 month, %)",insentives/finance (26 month),finance (48 month),"finance (48 month, %)",insentives/finance (48 month),finance (60 month),"finance (60 month, %)",insentives/finance (60 month),real cost,price,MSRP,Federal_TAX,CA_TAX,dealer,PGE,240V outlet installation,home level2 charger,other deals,official_site,note,test driving,autoinsurance_premium,base warranty,length (cf. RAV4 2019 is 181 inch)
2019,Toyota,prius prime,PHEV,640,25,133,20,???,8.8,5.5h,needs charger,2.5h,N/A,,,,678,2.9,9.6,516,2.9,12.6,419,2.9,15.5,"20,848","20,848",27350,4502,1500,,500,,,,https://www.toyota.com/configurator/build/step/model/year/2018/series/rav4hybrid,,Roseville Toyota,,,
2018,Toyota,prius prime,PHEV,,,,,,,,,,,,,,,,,,,,,,,"20,798","20,798",27300,4502,1500,,500,,,,,,,,,
2019,Nissan,Leaf S,EV,150,150,112,24,,40,very slow,8h,8h,40min,,,,,,,,,,,,,"16,290","15,690",29990,7500,2500,,"4,300",600,0,"no charge to charge (free EVtogo for 2 years), free charging at Nissan dealer",https://www.nissanusa.com,3500 rebate will be expired on April 1.,,,,
2019,Nissan,Leaf S plus,EV,226,226,108,24,,62,very slow,11.5h,11.5h,60min,,,,905,0.0,15.8,691,0.9,20.7,556,0.9,25.7,"22,850","22,250",36550,7500,2500,,"4,300",600,0,"no charge to charge (free EVtogo for 2 years), free charging at Nissan dealer",https://www.nissanusa.com,3500 rebate will be expired on April 1.,Future NIssan,,,
2019,Kia,Niro plug-in,PHEV,560,26,105,19.4,54.5,8.9,6h,,3h,N/A,,,,,,,,,,,,,"22,457","22,457",28500,4543,1500,,,,,,https://www.kia.com/us/en/vehicle/niro-plug-in-hybrid/2019,,,,,
2019,Kia,Niro EV,EV,240,240,,,,64,60h,,10h,54min,,,,,,,,,,,,,"35,600","35,000",37500,,2500,,,600,,,https://www.kia.com/us/en/content/vehicles/upcoming-vehicles/2019-niro-ev,,,,,
2019,Mitsubishi,Outlander PHEV,PHEV,310,22,74,30.4,,12,8h,needs charger,3.5h,25 min (80%),,,,940,1.9,8.9,726,2.9,11.5,604,3.9,13.8,"27,259","27,259",35595,"5,836",1500,1000,,,,,https://www.mitsubishicars.com/outlander-phev/2019,1500 w outlet x 2 (good for emmergency),,,5yr/60K,171.9 inch
2018,Mitsubishi,Outlander PHEV,PHEV,310,22,74,30.4,,12,13h,needs charger,3.5h,25 min (80%),,,,,,,,,,,,,"25,259","25,259",34595,"5,836",1500,2000,,,,,https://www.mitsubishicars.com/outlander-phev/2018,,,,5yr/60K,
2019,Hyundai,Kona,EV,258,258,132,19.2,45.8,64,?,,9.5h,,,54 min (80%),,,,,,,,,,,"27,100","26,500",36500,7500,2500,,,600,,,https://www.hyundaiusa.com/kona-electric/index.aspx,,,,5yr/60K,
2019,Subaru,Outback PHEV,PHEV,480,17,90,16,43,,8h,?,5h,,,,,,,,,,,,,,"28,952","28,952",34995,4543,1500,,,,,,,,,,,
2019,Hyundai,Ioniq,PHEV,630,29,119,23,,,,,,,,,,,,,,,,,,,"19,307","19,307",25350,4543,1500,,,,,,https://www.hyundaiusa.com/ioniq-plug-in-hybrid/specifications.aspx,,,,5yr/60K,
2019,Honda,Clarity PHEV,PHEV,340,47,110,15.5,,,12h,2.5h,2.5h,,,,,,,,,,,,,,"24,400","24,400",33400,7500,1500,,,,,,https://automobiles.honda.com/clarity-plug-in-hybrid,,,,8yr,
2019,Audi,e-tron,EV,250,250,,28.7,,95,,9h (50A),,,,,,,,,,,,,,,"64,800","64,800",74800,7500,2500,,,,,,,,,,,
2019,BMW,i3,EV,153,153,,15.1,,42.2,,,,,,,,,,,,,,,,,"34,450","34,450",44450,7500,2500,,,,,,,,,,,
2019,BMW,i3s,EV,153,153,,15.1,,42.2,,,,,,,,,,,,,,,,,"37,650","37,650",47650,7500,2500,,,,,,,,,,,
2019,GM,Chevrolet Bolt EV,EV,238,238,,16.9,,60,,,,,,,,,,,,,,,,,"26,620","26,620",36620,7500,2500,,,,,,,,,,,
2019,Fiat,500e,EV,84,84,,7,,24,,,,,,,,,,,,,,,,,"22,995","22,995",32995,7500,2500,,,,,,,,,,,
2019,Jaguar,i-Pace,EV,234,234,,25.3,51,90,,,10.1,,80 min,,,,,,,,,,,,"59,500","59,500",69500,7500,2500,,,,,,,,,,,
2019,smart,EQ fortwo Coupe,EV,58,58,124,8.9,,17.6,,,,,,,,,,,,,,,,,"13,900","13,900",23900,7500,2500,,,,,,https://www.smartusa.com/models/eq-prime-coupe,,,,8yr/62K,
2019,smart,EQ fortwo Cabrio,EV,57,57,,8.9,,17.6,,,,,,,,,,,,,,,,,"18,100","18,100",28100,7500,2500,,,,,,,,,,8yr/62K,
2019,Tesla,Model 3 Standard Range ,EV,220,,,15,,59.5,,,,,,,,,,,,,,,,,"28,750","28,750",35000,3750,2500,,,,,,,,,,,
2019,Tesla,Model 3 Standard Range Plus,EV,240,,,15,,59.5,,,,,,,,,,,,,,,,,"31,250","31,250",37500,3750,2500,,,,,,,,,,,
2019,Tesla,Model 3 Long Range RWD,EV,325,,130,15,,80.5,,,,,,,,,,,,,,,,,"38,250","38,250",44500,3750,2500,,,,,,,,,,,
2019,Tesla,Model 3 Long Range AWD,EV,310,,116,15,,80.5,,,,,,,,,,,,,,,,,"42,250","42,250",48500,3750,2500,,,,,,,,,,,
2019,Tesla,Model 3 Performance LR AWD,EV,310,,116,15,,80.5,,,,,,,,,,,,,,,,,"53,250","53,250",59500,3750,2500,,,,,,,,,,,
2019,Tesla,Model S Long Range,EV,335,,102,26.3,,100,,,,,,,,,,,,,,,,,"78,750","78,750",85000,3750,2500,,,,,,,,,,,
2019,Tesla,Model S Performance,EV,315,,103,26.3,,100,,,,,,,,,,,,,,,,,"92,750","92,750",99000,3750,2500,,,,,,,,,,,
2019,Tesla,Model S Performance LM,EV,315,,98,26.3,,100,,,,,,,,,,,,,,,,,"112,750","112,750",119000,3750,2500,,,,,,,,,,,
2019,Tesla,Model X Long Range,EV,295,,87,12.6,,100,,,,,,,,,,,,,,,,,"83,250","83,250",89500,3750,2500,,,,,,,,,,,
2019,Tesla,Model X Performance,EV,289,,85,12.6,,100,,,,,,,,,,,,,,,,,"97,750","97,750",104000,3750,2500,,,,,,,,,,,
2019,Tesla,Model X Performance LM,EV,289,,85,12.6,,100,,,,,,,,,,,,,,,,,"117,750","117,750",124000,3750,2500,,,,,,,,,,,
2019,Volkswagen,e-Golf,EV,125,,119,22.8,,35.8,,,,,,,,,,,,,,,,,"21,895","21,895",31895,7500,2500,,,,,,,,,,,